airport_name,country,iata,status
Mount Vernon Airport,US,N/A,Ghost Airport
Aero Sports Ultralightport,US,N/A,Ghost Airport
Hudson Airport,US,N/A,Ghost Airport
Englebert Farms Airport,US,N/A,Ghost Airport
Bells Airport,US,N/A,Ghost Airport
Becks Farm Airport,US,N/A,Ghost Airport
Lone Eagle Landing Airport,US,N/A,Ghost Airport
Cambridge Airport,US,N/A,Ghost Airport
Maynard Airport,US,N/A,Ghost Airport
Carl Lee Road Airport,US,N/A,Ghost Airport
Tar Bottom Airport,US,N/A,Ghost Airport
Coy Airport,US,N/A,Ghost Airport
County Line Flying Services Airport,US,N/A,Ghost Airport
Henderson Airport,US,N/A,Ghost Airport
Coy East Airport,US,N/A,Ghost Airport
Cross Bayou Airport,US,N/A,Ghost Airport
Webb Flying Service Airport,US,N/A,Ghost Airport
Cherry Canyon Airport,US,N/A,Ghost Airport
Cedar Pipeline Ranch Airport,US,N/A,Ghost Airport
Forest Moon Ranch Airport,US,N/A,Ghost Airport
Butterfield Springs Airport,US,N/A,Ghost Airport
Holt Camp Creek Airport,US,N/A,Ghost Airport
Moorman Ranch Airport,US,N/A,Ghost Airport
Moorman Ranch East Airport,US,N/A,Ghost Airport
Brown Ranch Airport,US,N/A,Ghost Airport
McQuown Ranch Ultralightport,US,N/A,Ghost Airport
Nunley Ranch Airport,US,N/A,Ghost Airport
Dripping Springs Hollow Airport,US,N/A,Ghost Airport
Blanco Ranch Airport,US,N/A,Ghost Airport
Griffith Ranch Airport,US,N/A,Ghost Airport
Buffalo Grass Airport,US,N/A,Ghost Airport
Home Ranch Airport,US,N/A,Ghost Airport
Muncy Creek Ranch Airport,US,N/A,Ghost Airport
Meadow Creek Ranch Airport,US,N/A,Ghost Airport
Posey Airport,US,N/A,Ghost Airport
DeLoach Airport,US,N/A,Ghost Airport
Butler Island Airport,US,N/A,Ghost Airport
Miami Valley Hospital South Heliport,US,N/A,Ghost Airport
Kettering Health Soin Medical Center Heliport,US,N/A,Ghost Airport
Miami Valley Hospital Jamestown Heliport,US,N/A,Ghost Airport
Elephant Mountain Airport,US,N/A,Ghost Airport
Terlingua Ranch West Airport,US,N/A,Ghost Airport
Longhorn Ranch Airport,US,N/A,Ghost Airport
Elephant Rock Airport,US,N/A,Ghost Airport
Carrizal Ranch Airport,US,N/A,Ghost Airport
Los Alamos Ranch Airport,US,N/A,Ghost Airport
Skydive West Plains Airport,US,N/A,Ghost Airport
Paulina Airport,US,N/A,Ghost Airport
Campbell Brothers Airport,US,N/A,Ghost Airport
Cypress Airport,US,N/A,Ghost Airport
Eloise Airport,US,N/A,Ghost Airport
Monterey Airport,US,N/A,Ghost Airport
Bayou Cross Cocodrie Airport,US,N/A,Ghost Airport
Burton Airstrip,US,N/A,Ghost Airport
Commodore Decatur Airport,US,N/A,Ghost Airport
Cow Creek Airport,US,N/A,Ghost Airport
Rocky Ford Auxiliary Army Airfield,US,N/A,Ghost Airport
Lake Park Auxiliary Army Airfield,US,N/A,Ghost Airport
Reynoldsville Auxiliary Army Airfield,US,N/A,Ghost Airport
Castle Hot Springs Resort Heliport,US,N/A,Ghost Airport
Rose City Airport,US,N/A,Ghost Airport
Bemiss Auxiliary Army Airfield,US,N/A,Ghost Airport
Vada Auxiliary Army Airfield,US,N/A,Ghost Airport
Babcock Auxiliary Army Airfield,US,N/A,Ghost Airport
Mission Mountain Airport,US,N/A,Ghost Airport
Salisbury Seaplane Base,US,N/A,Ghost Airport
Regional Health Services of Howard County Heliport,US,N/A,Ghost Airport
Santa Clarita Valley Sheriff's Station Heliport,US,N/A,Ghost Airport
American Dream Skyranch Airport,US,N/A,Ghost Airport
Baker Farm Airport,US,N/A,Ghost Airport
