country,airport_name,elevation_ft
AD,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,3450
AE,Masafi Hospital Heliport,1463
AF,Little Pamir Airport,13340
AG,V C Bird International Airport,62
AI,Clayton J Lloyd International Airport,127
AL,Korçë Teni Konomi City Hospital Heliport,2939
AM,Shirak International Airport,5000
AO,Lubango Airport,5778
AQ,Vostok Skiway,11447
AR,Salar De Cauchari Airport,13000
AS,Tau Airport,185
AT,Ischgl Idalp Heliport,7522
AU,Charlotte Pass Medical Centre HLS,5752
AW,Queen Beatrix International Airport,60
AZ,Nakhchivan Airport,2863
BA,Nisici Airfield,3155
BB,Grantley Adams International Airport,169
BD,Keokradong Heliport,3186
BE,Büllingen Airfield,2067
BF,Orodara Airport,1706
BG,Stanke Dimitrov Highway Strip,3447
BH,Sheik Isa Air Base,136
BI,Gitega Airport,5741
BJ,Natitingou Airport,1512
BL,Saint Barthélemy - Rémy de Haenen Airport,49
BM,L.F. Wade International Airport,12
BN,Brunei International Airport,73
BO,Ulla Ulla Airport,14360
BQ,F. D. Roosevelt Airport,129
BR,Aero Resende Airport,6825
BS,Wilson City Airport,49
BT,Yongphulla Airport,9000
BW,Goodhope Airport,4250
BY,Drozdy Heliport,703
BZ,Augustine Airstrip,1500
BZ,Privassion Airstrip,1500
CA,Mount Lady MacDonald Teahouse Helipad,7487
CC,Cocos (Keeling) Islands Airport,10
CD,Pepa Airport,6562
CF,Bocaranga Airport,3464
CG,Lague Airport,2756
CH,Helipad Station Corvatsch,10837
CI,Mahana Airport,1583
CK,Mangaia Island Airport,45
CL,Coposa Airport,12468
CM,Dschang Airport,4593
CN,Aksai Chin Heliport,15988
CO,Las Garzas Airport,13119
CR,Carrizal Airport,4650
CU,Chiquitico Fabregat Airport,656
CV,Preguiça Airport,669
CW,Hato International Airport,29
CX,Christmas Island Airport,916
CY,Nicosia International Airport,722
CZ,Frymburk ULM,2618
DE,Höllentalangerhütte Mountain Rescue Heliport,4541
DJ,Ali-Sabieh Airport,2313
DK,Christianshede Airfield,3274
DM,Douglas-Charles Airport,73
DO,Constanza - Expedición 14 de Junio National Airport,3952
DZ,Aguenar – Hadj Bey Akhamok Airport,4518
EC,DGAC Heliport,10010
EE,Tapa Air Base,331
EG,Saint Catherine Hospital Heliport,5128
EH,Tifariti Airstrip,1624
ER,Asmara International Airport,7661
ES,Beteta Airfield,4265
ET,Debre Tabor Airport,8490
FI,Kilpisjärvi Heliport,1584
FJ,Koro Island Airport,358
FK,Mount Pleasant Airport,244
FM,Yap International Airport,91
FO,Stóra Dímun Heliport,305
FR,Altisurface du Glacier Du Dome Du Gouter,13940
GA,M'Bigou Airport,2346
GB,Midland Glider Club,1460
GD,Maurice Bishop International Airport,41
GE,Mestia Queen Tamar Airport,4778
GF,Saül Airport,656
GG,Guernsey Airport,336
GH,Yendi Airport,2408
GI,Gibraltar Airport,12
GL,Gisp Ice Landing Strip,10545
GM,Banjul International Airport,95
GN,Tata Airport,3396
GP,Basse-Terre Baillif Airport,59
GQ,President Obiang Nguema International Airport,2165
GR,Gramos Heliport,4521
GS,Grytviken Emergency Helipad,27
GT,San Marcos Airport,7933
GU,Andersen Air Force Base,627
GW,Piche Airport,236
GY,Kurukabaru Airport,3199
HK,Kadoorie Farm Helipad,947
HM,Atlas Cove Station Helipad,0
HM,Spit Bay Helipad,0
HN,La Esperanza Airport,5475
HR,Udbina Air Base,2462
HT,Les Cayes Airport,203
HU,Kislőd Airstrip,1319
ID,Kwijawagi,9288
IE,Killenaule Airfield,680
IL,Hadassah Heliport,2661
IM,Mount Rule Farm Airstrip,316
IN,Daulat Beg Oldi Advanced Landing Ground,16200
IO,Diego Garcia Naval Support Facility,9
IQ,Bamarni Airport,3455
IR,Eqlid Red Crescent Heliport,7953
IS,Nýjidalur Airport,2625
IT,Pian Rosà Heliport,11443
JE,Jersey Airport,277
JM,Silent Hill Airstrip,2940
JO,Jordan Hospital Helipad,2939
JP,Jonengoya Heliport,8071
KE,Rutundu Airport,10200
KG,Irkeshtam Heliport,9452
KH,Preah Vinhear Airport,350
KI,Washington Island Airstrip,30
KM,Prince Said Ibrahim International Airport,93
KN,Robert L. Bradshaw International Airport,170
KP,Samjiyŏn Airport,4547
KR,H 310 Heliport,4816
KW,Ali Al Salem Air Base,472
KY,Charles Kirkconnell International Airport,8
KY,Owen Roberts International Airport,8
KZ,Ushkonyr Mountain Heliport,6322
LA,Muang Souy Airfield,3721
LB,Baadarâne Airport,3501
LC,George F. L. Charles Airport,22
LI,Balzers Heliport,1585
LK,Nuwara Eliya (Lake Gregory) Waterdrome,6157
LR,Nimba Airport,1632
LS,Letseng Airport,10400
LT,Molėtai Airfield,650
LU,Wiltz-Noertrange Airfield,1522
LV,Taurene Airfield,648
LY,El Feel Airport,2674
MA,Ifran Airport,5459
MC,Monaco Heliport,20
MD,Bălți International Airport,758
ME,Žabljak Airport,4252
MF,Grand Case-Espérance Airport,7
MG,Antsirabe Airport,4997
MH,Tabal Airstrip,32
MK,Ponikva Highway Airstrip,5157
ML,Tessalit Airport,1621
MM,Surbung Airport,6012
MN,Altai Airport,7260
MO,Macau International Airport,20
MP,Rota International Airport,607
MQ,Martinique Aimé Césaire International Airport,16
MR,Chinguetti Airport,1775
MS,John A. Osborne Airport,550
MT,Ta' Lambert Airfield,328
MU,Sir Seewoosagur Ramgoolam International Airport,186
MV,Kooddoo Airport,29
MW,Chelinda Malawi Airport,7759
MX,Helipuerto Bardahl Ajusco,10074
MY,Bario Airport,3350
MZ,Lichinga Airport,4505
NA,Gams Farm Landing Site,6063
NC,Plaine des Lacs Airport,902
NE,Iferouane Airport,2162
NF,Norfolk Island International Airport,371
NG,Yakubu Gowon Airport,4232
NI,Jinotega,3232
NL,Maastricht Aachen Airport,375
NO,Wadahl,3150
NP,Mount Everest Base Camp Heliport,17372
NR,Nauru International Airport,22
NU,Niue International Airport,209
NZ,Mount Tarawera Airport,3100
OM,Saiq Airport,6500
PA,Alvaro Berroa Airport,5000
PE,Laguna Choclococha Airport,14965
PF,Hiva Oa-Atuona Airport,1481
PG,Keglsugl Airport,8400
