source_airport,source_country,destination_airport,destination_country,distance_km
İstanbul Airport,TR,Sochi International Airport,RU,952.2709271
İstanbul Airport,TR,Skopje International Airport,MK,596.7670542
İstanbul Airport,TR,Belgrade Nikola Tesla Airport,RS,790.6916633
İstanbul Airport,TR,Podgorica Airport / Podgorica Golubovci Airbase,ME,795.5187262
İstanbul Airport,TR,Tirana International Airport Mother Teresa,AL,753.027819
İstanbul Airport,TR,Larnaca International Airport,CY,828.4938865
İstanbul Airport,TR,Athens Eleftherios Venizelos International Airport,GR,552.6795255
İstanbul Airport,TR,Heraklion International Nikos Kazantzakis Airport,GR,727.9391884
İstanbul Airport,TR,Brindisi Airport,IT,908.360921
İstanbul Airport,TR,Sarajevo International Airport,BA,898.4970468
İstanbul Airport,TR,Antalya International Airport,TR,516.5720641
İstanbul Airport,TR,Dalaman International Airport,TR,505.7552734
İstanbul Airport,TR,Çukurova International Airport,TR,730.7846239
Çukurova International Airport,TR,Sochi International Airport,RU,838.8315099
Çukurova International Airport,TR,Queen Alia International Airport,JO,580.8946457
Çukurova International Airport,TR,Baghdad International Airport / New Al Muthana Air Base,IQ,925.827149
Çukurova International Airport,TR,Cairo International Airport,EG,827.0291343
Çukurova International Airport,TR,Sharm El Sheikh International Airport,EG,993.169234
Çukurova International Airport,TR,Burgas Airport,BG,902.7241138
Çukurova International Airport,TR,Varna Airport,BG,935.9296162
Çukurova International Airport,TR,Athens Eleftherios Venizelos International Airport,GR,988.8850735
Çukurova International Airport,TR,Heraklion International Nikos Kazantzakis Airport,GR,904.5511158
Çukurova International Airport,TR,Ben Gurion International Airport,IL,542.8381117
Çukurova International Airport,TR,Ramon International Airport,IL,796.6064176
Çukurova International Airport,TR,Zvartnots International Airport,AM,887.8282603
Çukurova International Airport,TR,Adnan Menderes International Airport,TR,714.202858
Çukurova International Airport,TR,Dalaman International Airport,TR,559.2118941
Çukurova International Airport,TR,Milas Bodrum International Airport,TR,658.1382266
Çukurova International Airport,TR,Istanbul Sabiha Gökçen International Airport,TR,668.4409354
Çukurova International Airport,TR,İstanbul Airport,TR,730.7846239
Abeid Amani Karume International Airport,TZ,Jomo Kenyatta International Airport,KE,601.7674757
Addis Ababa Bole International Airport,ET,Djibouti-Ambouli Airport,DJ,556.0423973
Addis Ababa Bole International Airport,ET,Juba International Airport,SS,916.2307585
Adelaide International Airport,AU,Melbourne International Airport,AU,641.2704093
Adnan Menderes International Airport,TR,Skopje International Airport,MK,622.3011197
Adnan Menderes International Airport,TR,Belgrade Nikola Tesla Airport,RS,921.9048967
Adnan Menderes International Airport,TR,Podgorica Airport / Podgorica Golubovci Airbase,ME,807.8961923
Adnan Menderes International Airport,TR,Beirut Rafic Hariri International Airport,LB,898.3594724
Adnan Menderes International Airport,TR,Cairo International Airport,EG,989.3871185
Adnan Menderes International Airport,TR,Tirana International Airport Mother Teresa,AL,723.1566261
Adnan Menderes International Airport,TR,Sofia Airport,BG,582.7638641
Adnan Menderes International Airport,TR,Varna Airport,BG,552.1385693
Adnan Menderes International Airport,TR,Larnaca International Airport,CY,691.0245083
Adnan Menderes International Airport,TR,Bari Karol Wojtyła International Airport,IT,943.160992
Adnan Menderes International Airport,TR,Brindisi Airport,IT,832.6214635
Adnan Menderes International Airport,TR,Ben Gurion International Airport,IL,990.0344984
Adnan Menderes International Airport,TR,Sarajevo International Airport,BA,961.3099463
Adnan Menderes International Airport,TR,Bucharest Henri Coandă International Airport,RO,703.7581546
Adnan Menderes International Airport,TR,Esenboğa International Airport,TR,542.6939263
Adnan Menderes International Airport,TR,Çukurova International Airport,TR,714.202858
Adolfo Suárez Madrid–Barajas Airport,ES,Gibraltar Airport,GI,505.0756184
Adolfo Suárez Madrid–Barajas Airport,ES,Houari Boumediene Airport,DZ,723.1732423
Adolfo Suárez Madrid–Barajas Airport,ES,Fes Saïss International Airport,MA,738.4152345
Adolfo Suárez Madrid–Barajas Airport,ES,Rabat-Salé Airport,MA,767.5194831
Adolfo Suárez Madrid–Barajas Airport,ES,Mohammed V International Airport,MA,867.0522581
Adolfo Suárez Madrid–Barajas Airport,ES,Tangier Ibn Battuta Airport,MA,565.9922224
Adolfo Suárez Madrid–Barajas Airport,ES,Palma de Mallorca Airport,ES,546.2065352
Adolfo Suárez Madrid–Barajas Airport,ES,Bordeaux-Mérignac Airport,FR,537.373079
Adolfo Suárez Madrid–Barajas Airport,ES,Toulouse-Blagnac Airport,FR,537.1368368
Adolfo Suárez Madrid–Barajas Airport,ES,Lyon Saint-Exupéry Airport,FR,912.787328
Adolfo Suárez Madrid–Barajas Airport,ES,Marseille Provence Airport,FR,796.5351457
Adolfo Suárez Madrid–Barajas Airport,ES,Nice-Côte d'Azur Airport,FR,956.7966007
Adolfo Suárez Madrid–Barajas Airport,ES,Faro Airport,PT,541.7443676
Adolfo Suárez Madrid–Barajas Airport,ES,Humberto Delgado Airport (Lisbon Portela Airport),PT,512.8839404
Al Maktoum International Airport,AE,King Fahd International Airport,SA,565.2146143
Al Maktoum International Airport,AE,King Abdulaziz Air Base,SA,524.9262872
Al Maktoum International Airport,AE,King Khaled International Airport,SA,853.2282077
Al Maktoum International Airport,AE,Shiraz Shahid Dastghaib International Airport,IR,575.4307953
Al Maktoum International Airport,AE,Kuwait International Airport,KW,859.3696384
Al Maktoum International Airport,AE,Duqm International Airport,OM,651.5634023
Al Massira Airport,MA,Gibraltar Airport,GI,750.007375
Al Massira Airport,MA,Gran Canaria Airport,ES,638.1846576
Al Massira Airport,MA,Tenerife Sur Airport,ES,739.668945
Al Massira Airport,MA,Fes Saïss International Airport,MA,578.6811697
Al Massira Airport,MA,Tangier Ibn Battuta Airport,MA,683.7304068
Al Massira Airport,MA,Málaga-Costa del Sol Airport,ES,840.1990883
Al Massira Airport,MA,Faro Airport,PT,756.0145194
Al Massira Airport,MA,Madeira International Airport Cristiano Ronaldo,PT,746.0422907
Al Massira Airport,MA,Humberto Delgado Airport (Lisbon Portela Airport),PT,940.9163706
Albuquerque International Sunport,US,Harry Reid International Airport,US,781.1498493
Albuquerque International Sunport,US,General Abelardo L. Rodriguez International Airport,MX,996.4258727
Albuquerque International Sunport,US,Will Rogers World Airport,US,819.2221386
Albuquerque International Sunport,US,Phoenix Sky Harbor International Airport,US,527.1432676
Albuquerque International Sunport,US,San Antonio International Airport,US,979.2734994
