regional_airport,nearest_airport,distance_km
Boryspil International Airport,Gogoliv Airfield,21.77982241
Lviv International Airport,Tsuniv Airfield,19.20681139
Pulkovo Airport,Heli-Drive,3.136912184
Minsk National Airport,Lipki Air Base,21.88173324
Krasnoyarsk International Airport,Krasnoyarsk Cheremshanka Airport,3.345771137
Novosibirsk Tolmachevo Airport,Gorodskoy Aeroport Airfield,20.35446423
Platov International Airport,Rostov-on-Don Airport,27.40917986
Sochi International Airport,Krasnaya Polyana Heliport,32.26316393
Newark Liberty International Airport,Port Newark Helistop,1.868067722
Fort Lauderdale Hollywood International Airport,Broward Health Medical Center Heliport,3.632218251
Skopje International Airport,Former Skopje Airport,12.50732936
Gibraltar Airport,La Línea de la Concepción District Hospital Heliport,2.672516617
Belgrade Nikola Tesla Airport,Surčin Airstrip,5.516306462
Podgorica Airport / Podgorica Golubovci Airbase,Ćemovsko Polje / Špiro Mugoša Airfield,7.690048049
M. R. Štefánik Airport,Vajnory Slovaki Airfield,4.109084837
Providenciales International Airport,Pine Cay Airport,21.5102736
Casa De Campo International Airport,La Romana Batey Cacata airport,3.096898916
Ürümqi Diwopu International Airport,Ürümqi Yaxin General Airport,28.77273189
Changchun Longjia International Airport,Changchun East Airport,25.41257452
Harbin Taiping International Airport,Wanggang Airfield,21.77966208
Dalian Zhoushuizi International Airport,Dalian Yingchenzi/Xinzhaizi Air Base,13.76909505
Shenyang Taoxian International Airport,Shenyang Dongta Airport,16.11495579
El Dorado International Airport,Hospital De Engativa Heliport,4.209038377
Edmonton International Airport,Edmonton / Leduc Heliport,6.759612993
Halifax / Stanfield International Airport,Fall River Water Aerodrome,15.00200322
Ottawa Macdonald-Cartier International Airport,Ottawa (Civic Hospital) Heliport,8.657102129
Quebec Jean Lesage International Airport,Capitale Hélicoptère Heliport,1.816655773
Faa'a International Airport,Moorea Temae Airport,17.8848584
Bauerfield International Airport,Forari Airport,21.92714548
Auckland International Airport,Middlemore Hospital Helipad,7.534704138
Christchurch International Airport,Garden City Heliport,1.3621459
Malé International Airport,Biyadoo Island,30.89142932
Don Mueang International Airport,Thung Si Kan Airport,5.091898383
Suvarnabhumi Airport,Ram Inthra Police Heliport,23.38549891
Chiang Mai International Airport,Chiang Mai Airsports,17.90371783
Phuket International Airport,Skydance Helipad,4.267057639
Noi Bai International Airport,Gia Lam Air Base,21.69948919
Tan Son Nhat International Airport,Binh Duong Airport,20.61989195
Mandalay International Airport,Chanmyathazi Airport,28.89788972
Yangon International Airport,Hmawbi Air Base,24.33390801
Hasanuddin International Airport,Garongkong Heliport,76.47797885
Denpasar I Gusti Ngurah Rai International Airport,Discovery Kartika Plaza Heliport,2.237457677
Washington Dulles International Airport,Stonesprings Heliport,7.395756785
George Bush Intercontinental Houston Airport,Papa Heliport,1.279369927
Punta Cana International Airport,Baigua Airport,32.55430948
Las Américas International Airport,Boca Chica Airport,8.383714072
La Aurora Airport,Jayabaj Airport,53.7228964
Norman Manley International Airport,Up-Park Camp Heliport,5.971927936
Viru Viru International Airport,Collpa Airport,9.802385743
Johan Adolf Pengel International Airport,Zorg en Hoop Airport,39.84313481
Montreal / Pierre Elliott Trudeau International Airport,Cartierville Airport,5.788162581
Vancouver International Airport,Canadian Coast Guard Base Sea Island Heliport,1.427213972
Winnipeg / James Armstrong Richardson International Airport,Health Sciences Centre Helipad,6.003099002
Calgary International Airport,Calgary (Peter Lougheed Centre) Heliport,4.76711441
St. John's International Airport,St. John's (Universal) Heliport,2.182835355
Toronto Lester B. Pearson International Airport,Tarten Heliport,3.393178286
Wellington International Airport,Wellington Hospital Heliport,3.02114847
Bahrain International Airport,King Hamad University Hospital Helipad,3.568752146
King Fahd International Airport,Prince Sultan College Heliport,27.04824579
King Abdulaziz Air Base,King Fahd Military Medical City Heliport,14.33664416
King Abdulaziz International Airport,GSAC Jeddah,18.37731818
Prince Mohammad Bin Abdulaziz Airport,Bosporus Hotel,14.24455924
King Khaled International Airport,Residential Helipad,7.088366501
Jorge Newbery Airpark,Dines (Doctor E. Escudero) Heliport,2.033373048
Minister Pistarini International Airport,Monte Grande Airport,4.404042282
Indianapolis International Airport,Allison Plant 8 Heliport,7.715476506
Jacksonville International Airport,UF Health North Heliport,5.440774227
John F Kennedy International Airport,Rockaway Airport,4.214362334
Harry Reid International Airport,Claude I. Howard Heliport,2.17344686
Los Angeles International Airport,Sheraton Gateway Los Angeles Hotel Helipad,1.6298759
LaGuardia Airport,Edo Seaplane Base,0.87488929
Kansas City International Airport,Executive Hills Polo Club Heliport,4.124335847
Orlando International Airport,Lake Conway South Seaplane Base,5.136104728
Chicago Midway International Airport,Rose Packing County Heliport,2.190244293
Memphis International Airport,Le Bonheur Medical Center Heliport,7.004642402
Seychelles International Airport,Sainte Anne Helipad,7.090297753
N'Djamena International Airport,Bol-Berim Airport,149.116676
Robert Gabriel Mugabe International Airport,Langford Airport,15.1077415
Hosea Kutako International Airport,Otjihaenena Landing Strip,37.40343866
Ndjili International Airport,Ndolo Airport,14.5512163
Cozumel International Airport,Base No. 4 de la Fuerza Aérea Mexicana (General Eduardo Aldasoro Suárez),1.190876965
General Guadalupe Victoria International Airport,Las Praderas Airport,13.34896756
Guadalajara International Airport,The Westin Heliport,16.64387886
Manuel Crescencio Rejón International Airport,Base Nº8 de la Fuerza Aérea Mexicana,0.669169447
Benito Juárez International Airport,Helipuerto Ciudad de México,0.742262123
